"Lotação Destinatário"|"Ano/Mês Entrega"|"% Entregas no Prazo"|"Qtd. SS"|"Qtd. Entregas"|"Qtd. Entr. Prazo"|
"SUPDE/DERCE/DE401"|"2018/03"|1.000000|1|1|1|
"SUPDE/DERCE/DE403"|"2018/03"|1.000000|1|1|1|
"SUPDE/DERCE/DE404"|"2018/03"|1.000000|6|6|6|
"SUPDE/DERCE/DE405"|"2018/03"|1.000000|1|1|1|
"SUPDE/DERCE/DE406"|"2018/03"|1.000000|11|11|11|
"SUPDE/DERCE/DE407"|"2018/03"|1.000000|3|3|3|
"SUPDE/DERCE/DE408"|"2018/03"|1.000000|3|3|3|
"SUPDE/DERCE/DE409"|"2018/03"|1.000000|10|10|10|
"SUPDE/DERCE/DE410"|"2018/03"|1.000000|1|1|1|
"SUPDE/DERCE/DE411"|"2018/03"|1.000000|2|2|2|
"SUPDE/DERCE/DE413"|"2018/03"|0.968750|32|32|31|
"SUPDE/DERCE/DE414"|"2018/03"|1.000000|1|1|1|
"SUPDE/DERCE/DE415"|"2018/03"|1.000000|3|3|3|
"SUPDE/DERCE/DE403"|"2018/02"|1.000000|2|2|2|
"SUPDE/DERCE/DE404"|"2018/02"|1.000000|17|17|17|
"SUPDE/DERCE/DE405"|"2018/02"|1.000000|1|1|1|
"SUPDE/DERCE/DE406"|"2018/02"|0.863636|22|22|19|
"SUPDE/DERCE/DE407"|"2018/02"|1.000000|12|12|12|
"SUPDE/DERCE/DE408"|"2018/02"|1.000000|6|6|6|
"SUPDE/DERCE/DE409"|"2018/02"|1.000000|8|8|8|
"SUPDE/DERCE/DE410"|"2018/02"|1.000000|4|4|4|
"SUPDE/DERCE/DE411"|"2018/02"|1.000000|1|1|1|
"SUPDE/DERCE/DE413"|"2018/02"|0.977273|44|44|43|
"SUPDE/DERCE/DE414"|"2018/02"|1.000000|10|10|10|
"SUPDE/DERCE/DE415"|"2018/02"|1.000000|3|3|3|
"SUPDE/DERCE/DE4D7"|"2018/02"|1.000000|1|1|1|
"SUPDE/DERCE/DE402"|"2018/01"|0.285714|7|7|2|
"SUPDE/DERCE/DE403"|"2018/01"|1.000000|5|5|5|
"SUPDE/DERCE/DE404"|"2018/01"|1.000000|18|18|18|
"SUPDE/DERCE/DE406"|"2018/01"|0.850000|20|20|17|
"SUPDE/DERCE/DE407"|"2018/01"|1.000000|17|17|17|
"SUPDE/DERCE/DE408"|"2018/01"|1.000000|1|1|1|
"SUPDE/DERCE/DE409"|"2018/01"|1.000000|9|9|9|
"SUPDE/DERCE/DE411"|"2018/01"|1.000000|1|1|1|
"SUPDE/DERCE/DE413"|"2018/01"|0.896552|28|29|26|
"SUPDE/DERCE/DE414"|"2018/01"|1.000000|3|3|3|
"SUPDE/DERCE/DE402"|"2017/12"||6|6||
"SUPDE/DERCE/DE403"|"2017/12"|1.000000|2|2|2|
"SUPDE/DERCE/DE404"|"2017/12"|1.000000|29|29|29|
"SUPDE/DERCE/DE405"|"2017/12"|1.000000|1|1|1|
"SUPDE/DERCE/DE406"|"2017/12"|1.000000|15|15|15|
"SUPDE/DERCE/DE407"|"2017/12"|1.000000|3|3|3|
"SUPDE/DERCE/DE409"|"2017/12"|1.000000|12|12|12|
"SUPDE/DERCE/DE410"|"2017/12"|1.000000|3|3|3|
"SUPDE/DERCE/DE411"|"2017/12"|1.000000|1|1|1|
"SUPDE/DERCE/DE413"|"2017/12"|0.927536|68|69|64|
"SUPDE/DERCE/DE414"|"2017/12"|1.000000|19|19|19|
"SUPDE/DERCE/DE415"|"2017/12"|1.000000|4|4|4|
"SUPDE/DERCE/DE401"|"2017/11"|1.000000|6|6|6|
"SUPDE/DERCE/DE402"|"2017/11"|1.000000|2|2|2|
"SUPDE/DERCE/DE403"|"2017/11"|1.000000|6|6|6|
"SUPDE/DERCE/DE404"|"2017/11"|0.974359|39|39|38|
"SUPDE/DERCE/DE406"|"2017/11"|1.000000|25|25|25|
"SUPDE/DERCE/DE407"|"2017/11"|1.000000|11|11|11|
"SUPDE/DERCE/DE408"|"2017/11"|1.000000|1|1|1|
"SUPDE/DERCE/DE409"|"2017/11"|1.000000|8|8|8|
"SUPDE/DERCE/DE410"|"2017/11"|1.000000|4|4|4|
"SUPDE/DERCE/DE411"|"2017/11"|1.000000|3|3|3|
"SUPDE/DERCE/DE413"|"2017/11"|0.865385|52|52|45|
"SUPDE/DERCE/DE414"|"2017/11"|1.000000|20|20|20|
"SUPDE/DERCE/DE415"|"2017/11"|1.000000|10|10|10|
"SUPDE/DERCE/DE4D6"|"2017/11"|1.000000|3|3|3|
"SUPDE/DERCE/DE4ED"|"2017/11"|1.000000|1|1|1|
"SUPDE/DERCE/DE401"|"2017/10"|1.000000|6|6|6|
"SUPDE/DERCE/DE403"|"2017/10"|1.000000|3|3|3|
"SUPDE/DERCE/DE404"|"2017/10"|1.000000|17|17|17|
"SUPDE/DERCE/DE406"|"2017/10"|1.000000|15|16|16|
"SUPDE/DERCE/DE407"|"2017/10"|0.875000|8|8|7|
"SUPDE/DERCE/DE408"|"2017/10"|1.000000|2|2|2|
"SUPDE/DERCE/DE409"|"2017/10"|0.944444|17|18|17|
"SUPDE/DERCE/DE410"|"2017/10"|1.000000|2|2|2|
"SUPDE/DERCE/DE411"|"2017/10"|0.500000|2|2|1|
"SUPDE/DERCE/DE413"|"2017/10"|0.775510|47|49|38|
"SUPDE/DERCE/DE414"|"2017/10"|1.000000|16|17|17|
"SUPDE/DERCE/DE415"|"2017/10"|1.000000|4|4|4|
"SUPDE/DERCE/DE4D6"|"2017/10"|1.000000|5|5|5|
"SUPDE/DERCE/DE4D9"|"2017/10"|1.000000|3|3|3|
"SUPDE/DERCE/DE401"|"2017/09"|1.000000|5|5|5|
"SUPDE/DERCE/DE404"|"2017/09"|0.944444|18|18|17|
"SUPDE/DERCE/DE406"|"2017/09"|1.000000|5|5|5|
"SUPDE/DERCE/DE407"|"2017/09"|1.000000|6|6|6|
"SUPDE/DERCE/DE408"|"2017/09"|1.000000|3|3|3|
"SUPDE/DERCE/DE410"|"2017/09"|1.000000|2|2|2|
"SUPDE/DERCE/DE411"|"2017/09"|1.000000|2|2|2|
"SUPDE/DERCE/DE413"|"2017/09"|0.741935|62|62|46|
"SUPDE/DERCE/DE414"|"2017/09"|1.000000|19|19|19|
"SUPDE/DERCE/DE415"|"2017/09"|1.000000|3|3|3|
"SUPDE/DERCE/DE4D1"|"2017/09"|1.000000|2|4|4|
"SUPDE/DERCE/DE4D3"|"2017/09"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D4"|"2017/09"|1.000000|8|8|8|
"SUPDE/DERCE/DE4D6"|"2017/09"|1.000000|9|9|9|
"SUPDE/DERCE/DE4D7"|"2017/09"|1.000000|4|4|4|
"SUPDE/DERCE/DE4D9"|"2017/09"|0.500000|2|2|1|
"SUPDE/DERCE/DE4ED"|"2017/09"|1.000000|1|1|1|
"SUPDE/DERCE/DE404"|"2017/08"|0.500000|2|2|1|
"SUPDE/DERCE/DE406"|"2017/08"||1|1||
"SUPDE/DERCE/DE407"|"2017/08"|1.000000|2|2|2|
"SUPDE/DERCE/DE409"|"2017/08"|1.000000|1|1|1|
"SUPDE/DERCE/DE410"|"2017/08"|0.500000|1|2|1|
"SUPDE/DERCE/DE411"|"2017/08"|1.000000|7|7|7|
"SUPDE/DERCE/DE413"|"2017/08"|0.938776|48|49|46|
"SUPDE/DERCE/DE414"|"2017/08"|1.000000|24|24|24|
"SUPDE/DERCE/DE415"|"2017/08"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D1"|"2017/08"|1.000000|3|4|4|
"SUPDE/DERCE/DE4D2"|"2017/08"|0.666667|3|3|2|
"SUPDE/DERCE/DE4D3"|"2017/08"|1.000000|1|1|1|
"SUPDE/DERCE/DE4D4"|"2017/08"|1.000000|6|6|6|
"SUPDE/DERCE/DE4D6"|"2017/08"|1.000000|19|19|19|
"SUPDE/DERCE/DE4D7"|"2017/08"|1.000000|9|9|9|
"SUPDE/DERCE/DE4D8"|"2017/08"|1.000000|3|3|3|
"SUPDE/DERCE/DE4D9"|"2017/08"|1.000000|9|9|9|
"SUPDE/DERCE/DE4ED"|"2017/08"|1.000000|1|1|1|
"SUPDE/DERCE/DE404"|"2017/07"|1.000000|1|1|1|
"SUPDE/DERCE/DE406"|"2017/07"|1.000000|1|1|1|
"SUPDE/DERCE/DE410"|"2017/07"|1.000000|2|2|2|
"SUPDE/DERCE/DE411"|"2017/07"|1.000000|9|9|9|
"SUPDE/DERCE/DE413"|"2017/07"|0.983607|61|61|60|
"SUPDE/DERCE/DE414"|"2017/07"|1.000000|25|26|26|
"SUPDE/DERCE/DE415"|"2017/07"|1.000000|6|6|6|
"SUPDE/DERCE/DE4D3"|"2017/07"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D4"|"2017/07"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D6"|"2017/07"|1.000000|19|19|19|
"SUPDE/DERCE/DE4D7"|"2017/07"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D8"|"2017/07"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D9"|"2017/07"|1.000000|5|5|5|
"SUPDE/DERCE/DE404"|"2017/06"|1.000000|2|2|2|
"SUPDE/DERCE/DE406"|"2017/06"|1.000000|1|1|1|
"SUPDE/DERCE/DE410"|"2017/06"|1.000000|2|2|2|
"SUPDE/DERCE/DE411"|"2017/06"|1.000000|4|4|4|
"SUPDE/DERCE/DE413"|"2017/06"|0.977273|44|44|43|
"SUPDE/DERCE/DE414"|"2017/06"|1.000000|25|25|25|
"SUPDE/DERCE/DE415"|"2017/06"|1.000000|3|3|3|
"SUPDE/DERCE/DE4D1"|"2017/06"|1.000000|6|6|6|
"SUPDE/DERCE/DE4D2"|"2017/06"|1.000000|5|5|5|
"SUPDE/DERCE/DE4D3"|"2017/06"|1.000000|1|1|1|
"SUPDE/DERCE/DE4D4"|"2017/06"|1.000000|9|9|9|
"SUPDE/DERCE/DE4D6"|"2017/06"|0.833333|6|6|5|
"SUPDE/DERCE/DE4D7"|"2017/06"|1.000000|12|12|12|
"SUPDE/DERCE/DE4D8"|"2017/06"|1.000000|8|8|8|
"SUPDE/DERCE/DE4D9"|"2017/06"|1.000000|10|10|10|
"SUPDE/DERCE/DE4ED"|"2017/06"|1.000000|1|1|1|
"SUPDE/DERCE/DE402"|"2017/05"|1.000000|2|2|2|
"SUPDE/DERCE/DE404"|"2017/05"|1.000000|2|2|2|
"SUPDE/DERCE/DE406"|"2017/05"|1.000000|1|1|1|
"SUPDE/DERCE/DE407"|"2017/05"|1.000000|2|2|2|
"SUPDE/DERCE/DE410"|"2017/05"|1.000000|2|2|2|
"SUPDE/DERCE/DE411"|"2017/05"|1.000000|7|7|7|
"SUPDE/DERCE/DE413"|"2017/05"|1.000000|33|33|33|
"SUPDE/DERCE/DE414"|"2017/05"|1.000000|47|47|47|
"SUPDE/DERCE/DE415"|"2017/05"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D1"|"2017/05"|1.000000|10|10|10|
"SUPDE/DERCE/DE4D2"|"2017/05"|0.666667|3|3|2|
"SUPDE/DERCE/DE4D3"|"2017/05"|1.000000|5|5|5|
"SUPDE/DERCE/DE4D4"|"2017/05"|0.952381|21|21|20|
"SUPDE/DERCE/DE4D6"|"2017/05"|0.750000|4|4|3|
"SUPDE/DERCE/DE4D7"|"2017/05"|1.000000|11|11|11|
"SUPDE/DERCE/DE4D8"|"2017/05"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D9"|"2017/05"|1.000000|5|5|5|
"SUPDE/DERCE/DE403"|"2017/04"|1.000000|1|1|1|
"SUPDE/DERCE/DE404"|"2017/04"|1.000000|1|1|1|
"SUPDE/DERCE/DE406"|"2017/04"|1.000000|1|1|1|
"SUPDE/DERCE/DE407"|"2017/04"|1.000000|1|1|1|
"SUPDE/DERCE/DE410"|"2017/04"|1.000000|2|2|2|
"SUPDE/DERCE/DE411"|"2017/04"|1.000000|5|5|5|
"SUPDE/DERCE/DE413"|"2017/04"|1.000000|19|19|19|
"SUPDE/DERCE/DE414"|"2017/04"|0.885714|34|35|31|
"SUPDE/DERCE/DE415"|"2017/04"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D1"|"2017/04"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D2"|"2017/04"|1.000000|3|3|3|
"SUPDE/DERCE/DE4D3"|"2017/04"|1.000000|8|8|8|
"SUPDE/DERCE/DE4D4"|"2017/04"|0.600000|5|5|3|
"SUPDE/DERCE/DE4D5"|"2017/04"|1.000000|2|2|2|
"SUPDE/DERCE/DE4D7"|"2017/04"|1.000000|14|14|14|
"SUPDE/DERCE/DE4D8"|"2017/04"|1.000000|3|3|3|
"SUPDE/DERCE/DE4D9"|"2017/04"|0.857143|7|7|6|
"SUPDE/DERCE/DE404"|"2017/03"|1.000000|1|1|1|
"SUPDE/DERCE/DE409"|"2017/03"|1.000000|1|1|1|
"SUPDE/DERCE/DE411"|"2017/03"|1.000000|6|6|6|
"SUPDE/DERCE/DE413"|"2017/03"|0.974359|39|39|38|
"SUPDE/DERCE/DE414"|"2017/03"|0.892857|28|28|25|
"SUPDE/DERCE/DE415"|"2017/03"|1.000000|4|4|4|
"SUPDE/DERCE/DE4CT"|"2017/03"|1.000000|6|6|6|
"SUPDE/DERCE/DE4D1"|"2017/03"|1.000000|17|17|17|
"SUPDE/DERCE/DE4D2"|"2017/03"|1.000000|6|6|6|
"SUPDE/DERCE/DE4D3"|"2017/03"|1.000000|7|8|8|
"SUPDE/DERCE/DE4D4"|"2017/03"|1.000000|12|12|12|
"SUPDE/DERCE/DE4D5"|"2017/03"|1.000000|5|5|5|
"SUPDE/DERCE/DE4D7"|"2017/03"|1.000000|7|7|7|
"SUPDE/DERCE/DE4D9"|"2017/03"|0.666667|6|6|4|
"SUPDE/DERCE/DEP19"|"2017/03"||1|1||
